"id","country_id:id","name","code"
state_th_001,base.th,"Bangkok","TH-10"
state_th_002,base.th,"Amnat Charoen","TH-37"
state_th_003,base.th,"Ang Thong","TH-15"
state_th_004,base.th,"Bueng Kan","TH-38"
state_th_005,base.th,"Buriram","TH-31"
state_th_006,base.th,"Chachoengsao","TH-24"
state_th_007,base.th,"Chai Nat","TH-18"
state_th_008,base.th,"Chaiyaphum","TH-36"
state_th_009,base.th,"Chanthaburi","TH-22"
state_th_010,base.th,"Chiang Mai","TH-50"
state_th_011,base.th,"Chiang Rai","TH-57"
state_th_012,base.th,"Chonburi","TH-20"
state_th_013,base.th,"Chumphon","TH-86"
state_th_014,base.th,"Kalasin","TH-46"
state_th_015,base.th,"Kamphaeng Phet","TH-62"
state_th_016,base.th,"Kanchanaburi","TH-71"
state_th_017,base.th,"Khon Kaen","TH-40"
state_th_018,base.th,"Krabi","TH-81"
state_th_019,base.th,"Lampang","TH-52"
state_th_020,base.th,"Lamphun","TH-51"
state_th_021,base.th,"Loei","TH-42"
state_th_022,base.th,"Lopburi","TH-16"
state_th_023,base.th,"Mae Hong Son","TH-58"
state_th_024,base.th,"Maha Sarakham","TH-44"
state_th_025,base.th,"Mukdahan","TH-49"
state_th_026,base.th,"Nakhon Nayok","TH-26"
state_th_027,base.th,"Nakhon Pathom","TH-73"
state_th_028,base.th,"Nakhon Phanom","TH-48"
state_th_029,base.th,"Nakhon Ratchasima","TH-30"
state_th_030,base.th,"Nakhon Sawan","TH-60"
state_th_031,base.th,"Nakhon Si Thammarat","TH-80"
state_th_032,base.th,"Nan","TH-55"
state_th_033,base.th,"Narathiwat","TH-96"
state_th_034,base.th,"Nong Bua Lamphu","TH-39"
state_th_035,base.th,"Nong Khai","TH-43"
state_th_036,base.th,"Nonthaburi","TH-12"
state_th_037,base.th,"Pathum Thani","TH-13"
state_th_038,base.th,"Pattani","TH-94"
state_th_039,base.th,"Phang Nga","TH-82"
state_th_040,base.th,"Phatthalung","TH-93"
state_th_041,base.th,"Phayao","TH-56"
state_th_042,base.th,"Phetchabun","TH-67"
state_th_043,base.th,"Phetchaburi","TH-76"
state_th_044,base.th,"Phichit","TH-66"
state_th_045,base.th,"Phitsanulok","TH-65"
state_th_046,base.th,"Phra Nakhon Si Ayutthaya","TH-14"
state_th_047,base.th,"Phrae","TH-54"
state_th_048,base.th,"Phuket","TH-83"
state_th_049,base.th,"Prachinburi","TH-25"
state_th_050,base.th,"Prachuap Khiri Khan","TH-77"
state_th_051,base.th,"Ranong","TH-85"
state_th_052,base.th,"Ratchaburi","TH-70"
state_th_053,base.th,"Rayong","TH-21"
state_th_054,base.th,"Roi Et","TH-45"
state_th_055,base.th,"Sa Kaeo","TH-27"
state_th_056,base.th,"Sakon Nakhon","TH-47"
state_th_057,base.th,"Samut Prakan","TH-11"
state_th_058,base.th,"Samut Sakhon","TH-74"
state_th_059,base.th,"Samut Songkhram","TH-75"
state_th_060,base.th,"Saraburi","TH-19"
state_th_061,base.th,"Satun","TH-91"
state_th_062,base.th,"Sing Buri","TH-17"
state_th_063,base.th,"Sisaket","TH-33"
state_th_064,base.th,"Songkhla","TH-90"
state_th_065,base.th,"Sukhothai","TH-64"
state_th_066,base.th,"Suphan Buri","TH-72"
state_th_067,base.th,"Surat Thani","TH-84"
state_th_068,base.th,"Surin","TH-32"
state_th_069,base.th,"Tak","TH-63"
state_th_070,base.th,"Trang","TH-92"
state_th_071,base.th,"Trat","TH-23"
state_th_072,base.th,"Ubon Ratchathani","TH-34"
state_th_073,base.th,"Udon Thani","TH-41"
state_th_074,base.th,"Uthai Thani","TH-61"
state_th_075,base.th,"Uttaradit","TH-53"
state_th_076,base.th,"Yala","TH-95"
state_th_077,base.th,"Yasothon","TH-35"
